original,one,two
6j1czlmxsmqgzvrcjjscnineseven,61,67
ffnrkvchddftmhklsbxfourxmqnrnlrvvsevenone93,93,43
jlnzkqfvnsix8four74eightone,84,61
56eight1sqthzbsfpsevenhdlqkkqjqnqtbseven,51,57
dfsxgdsfnrktlhllrxqp5onevmfklvgxqhmlhgqhd8,58,58
cvtdzcsfive6rhggdz1tfzkffglck593,63,53
ninet715two1,71,91
gknjznhzvjrmqtkdbb5,55,55
xnrvvntwo22,22,22
9nlpcldct8nine5eightkjzmqskpnb,95,98
eightsix7ninetwopjslsgvbseven1,71,81
p2dcg49one,29,21
xcdthreessvvzts67bkqchqgqcf,67,37
31ncbk97,37,37
kxftjfivegmkcfqbvsl8threeqnrnrsixbdqzl,88,56
91fourpqfghjncnine8bfxqxdjckfckdzgsl,98,98
2vhrdjpcdlg,22,22
mrcjfivetwo6threenine,66,59
2ljldxrdg94four,24,24
gnoneghkgtt256,26,16
mxplnslnrsxpzlgx3nineonefive,33,35
63mzsvmsix,63,66
6fourninejpsfnineseven,66,67
fourninefive3threethreecmbseven,33,47
761zzctnddfour2one,72,71
dzonesixseven1two,11,12
fiver31oneeighteightwov,31,52
3kpbcxsthreeone5,35,35
nineonektx48drsgpktpns255,45,95
qfqtwone7nine374,74,24
xnsevenm9,99,79
seven8fourdptllvrggqzcnqfourtrbslxxgrrgj,88,74
onesix1sixngvmpbjctrkztfour1one,11,11
sjmxkkvddt89jlgfvhnlhlzzhdvp,89,89
jbk6,66,66
six4hkfbxrbg1ff7six,47,66
3six6fourthree6two,36,32
5sevensixonefour26,56,56
pgnzkprhj1rxsqftblftjgngthqdgmbdfmcpxxtsj8seven,18,17
17nine2kcnqv,12,12
ckzfgltmnqnkgzkxdfmncp8nine8,88,88
ccfourgfpdfrgmvdbvdvpd3,33,43
9bgqggggrbggmdrjkfivesvknmpthree,99,93
82sqghgstwoeightt,82,88
nk1slsckcn87cfsbggnsfnps67,17,17
1onethreefxdcqfourtpzqtwosix,11,16
pfivek4,44,54
99vnxnscjpeight4dthlk5eightwovl,95,92
rmtwonehkt6lczt8vfxmkzkxsb2five,62,25
one89bchlvvhtjz3zbspjtmkqkfourpznpfeight,83,18
foursqmchjpccone7ninenine2,72,42
1dvsgvone236six,16,16
six63three9,69,69
bvvgtrmmxs5scdzvcpseven7gdnxvczneight5oneightzbr,55,58
cv18cvdgxmrjsgnztgjrb4threefive9,19,19
ninesixsevennseventhree73,73,93
44dxhfgjt2gntv95,45,45
rbbhmmqbrc9twofour,99,94
4bqfivefiverdp658four,48,44
hpsslx88four,88,84
one8hmjrstmmeighttwodrmpm7five9,89,19
4ninen,44,49
9seven9fd442,92,92
3vqdtnhqg,33,33
hldgmmnfmzeighteightseven48,48,88
8msmbtzlvsf1ph4lkqddcbhcnp,84,84
jnkxqmghbpjslmgsbvlhtrr1njgrx2twozfk5,15,15
fxchjbvgl8mdhtckn8seven,88,87
rllvfrffhf13sevenc98,18,18
vgbprsjllsrhkltdrcknmfk1rpeightjpkxvjsrm,11,18
six81hgfzghnn8fivenseven,88,67
ninesrqjnt9onetwoeight63j,93,93
pbrrb9fqjhhfhfh9twokhhdsghvjkvkpj,99,92
1nineztppgztbdxvrgqvs46,16,16
jbqrdsqtfninefxtg1nzmdcqvg,11,91
41ninefiveninefiveone96,46,46
mmsfsjeightthreeqgbfbnvgnv5four4threepggz,54,83
6threehqq5four,65,64
mpthqgsix86two,86,62
5onesevenfive61,51,51
8ninetwoeightj31,81,81
7fivekxzhlxdsevenzn,77,77
sevenshxtsixzdfjvpcsc5jvjhgzbssbrqtwonemx,55,71
phls1,11,11
148nxbhkjr,18,18
2l8threeqfpddrjxrzlqldtqjseventwo,28,22
k7one,77,71
92sixtwotwoglmnxdnxz,92,92
9six4xdh,94,94
9five9nine,99,99
k21xc,21,21
sixonegsbffgtsevenzjbrone4chq,44,64
eightfive67fiveseven3four9,69,89
8lxzjjjshhgpvkmzcjjljr1fiveltt1,81,81
nine24eightts5xnfgtlpng5rkq,25,95
lhtwone1six8156zttxfdn5,15,25
69sevenmbkjdjbl,69,67
hnm8fivetwo,88,82
6threezc,66,63
lhmtbt7ltb6,76,76
six1eight4crjfmmxonenine,14,69
fhrvhfkp4xjstfour,44,44
kxeightwoseventlrvhfrkhrhfive34twos,34,82
sfvdlttlrfourthreevzksseven736,76,46
7crlzrzone8,78,78
fjsfpfivejxvqnq16threesixqxdmjz6,16,56
fkrjfjkgbjnine63fxfkfvphbjngnfqbhb2seventlbbr,62,97
596,56,56
dgfrd288six,28,26
783nine,73,79
two8fivefpkjllbnqgqlkqms7mmhbsrnhsxnbmjv,87,27
seven79one9,79,79
fourmrxqtmg21lnztkhx,21,41
3one728sixfive,38,35
fourconemgdcch8three,88,43
bfsfktfbvqfiveonecljcbqfnine2five,22,55
5eight2sevenzxpsk,52,57
6twotrvkhqrsppcxhjvjlkhcjrqpqvqxrmxqt,66,62
77kxkrpzr,77,77
grlrh36sevenone49,39,39
9fiveeight8,98,98
five4jbspqscf,44,54
4zzzjxghvcj,44,44
6xhrgnhxzx16xrknine,66,69
84nqhnxcdldthreeseventwodnbpszp,84,82
twoseven3xzpxpgjvbgldlqsgf,33,23
ncsfckp5cgv4jrbkf,54,54
9eightsixtcdkzlbl,99,96
sjfxx4,44,44
onebshtqkhslhfvhgqtvsnhqfhone4,44,14
fgggsixtwo4pl5,45,65
nvrr2twohknrgcxtpltwosgfbnlszeight,22,28
five1bzfdfsrz,11,51
4xvtwo2,42,42
five2eighth4,24,54
2jlnlmbqccrgkmjqninethreethreenine4,24,24
gtxxdnxqzlfive5seven,55,57
fivegjkqh46eight,46,58
33z,33,33
48sixscgcghlqjheight,48,48
vkfzkkxxnj17fivedt,17,15
onejlhdglpkjsixtwo24,24,14
4bssmdxpone1bnxjtwo,41,42
pbsixsfxddk3fivefive43eight,33,68
fivemnmqbzonetdgvmsone48,48,58
dbjeightwo9nine9,99,89
eight123kkptmzpqjj1,11,81
15krrcpgqshrhxrxpgone8kbkvgjlghc,18,18
45eight323hvnbtbqqtwoeight,43,48
veightwo2dsqjg,22,82
three77q6,76,36
1hshtr1vsbhfctfpdl1threem,11,13
nineninethreevvgbclnkcmzhctgjtwoseven4,44,94
seven3foursix4four,34,74
fhvm96bbxrmtcgcthree4rthree7,97,97
65crr,65,65
7ljvcqtceightbnkpbxqgfvfzxmfmctdjctgcc,77,78
llj659nine5rl,65,65
two8fivep3ddmpdhngm8cf,88,28
hljxhkvbk4five5k,45,45
threeninefive9,99,39
jncnpkxjvst2eightrjltjc,22,28
4psqtnkxrc,44,44
eightqtscplvmkbrlnine449nbnxtkz7,47,87
sixnvkbxlxninevhtdvf77zrnjzxfbdlsix1,71,61
eight2mznnrmhnmclxdcdzjsfourtxvgmdzvk,22,84
fkghbffpnmqblcrfivethreethree195,15,55
pxgpcrmpone1one,11,11
5pfkktxpfjgsixp5lbhrvv373,53,53
six8seven2fseven6,86,66
eight9crdxxxgpbprtdxpfsgglkst1,91,81
8zbmntvnpfoureightxz7four,87,84
3599lx5,35,35
seven9six4fdqr3vgq8,98,78
fiveone2twosevenfive,22,55
twotwo35sixczdx,35,26
two62964mdhbqhrfkf,64,24
phtrfmmkzonedcsnqdvrghvvf36thqdxfrh,36,16
dxnqsdhfivefour2385threeone,25,51
7onetwo,77,72
pfzrvpphj7phnzqmkbbbfvstwosevensix,77,76
69foursixonefive2,62,62
jszkfs9hkcsnxtzfs3,93,93
gqb1gzbglssfxqjvffivexlphdd7,17,17
2one777,27,27
qcczbcm4sevenseven,44,47
4threevxhtx,44,43
tdxxf8,88,88
jlxc5fivesixeight,55,58
sbszlkpjgfivevtsjscqdpv5eight56,56,56
bbpxxtwo798,78,28
fiveztdspgfive97zfmrvnxeighttwosix,97,56
51threetwovrbv5,55,55
fourfhxzgvbgdceightqnqrvmb7,77,47
11ngqhghdsevensthhs9,19,19
sevensevenrqmpsf4hnpqxmgbhskllksnkfourfour7,47,77
vheightwo5twothreehbzcrs,55,83
2fournpvcpksffj1,21,21
mxmldpfsevenpfcvhff9twonineeight,99,78
9pcqfrtkrtwo,99,92
hxxzppmlfive6cktznkfgmnctjfjpxvgdfszk7ptwo,67,52
vjjhjlqsvknineggvjdnnpltzrrqz7,77,97
9xdjlnqc,99,99
seven1lmdffjjqgxone,11,71
fiveseven9,99,59
5931zmck,51,51
twofourvzrdjmhbnl9onedrtcnl,99,21
4trmsevenhbsone,44,41
87pzvbcrdvzg3vfszszfds13,83,83
5three38gccjdm6six,56,56
xcszzrlpltbxs48mcs,48,48
ksjzvcgptnq3bfhrfx,33,33
twoninethreekhvndq8jfkrfpzsr71six,81,26
nine8zmnsdzxqhf4nine6nine,86,99
bsdvvggfrjvbvqrtjzbkzmcp64fourthree,64,63
nceighteightggrtjsblxdhpxsix7,77,87
ninebv8,88,98
136tjpsfdgnine,16,19
9q,99,99
seven1two,11,72
mtmzmplcnrfive3rtmhcxcxpsixeight2eight2,32,52
qclnh4,44,44
5d,55,55
tmvbmvh176jngdjlhszlfcbzv,16,16
two77jzfncqnm,77,27
onexdcrstcqlsixnmtxndzksfsvrxccmjj45,45,15
threeone58rzpfivenine,58,39
118zgl48,18,18
tfhdfive1gzz59bkztx,19,59
r3three4fourgzlgljdrmnmnjntssbpvkpmfdsjlbl,34,34
24hz,24,24
four8sixone6,86,46
nineqfggh3svpvlfzpfxoneeight6twohzb,36,92
941,91,91
onefivejnbgncqfzcsixdqd8rxjd2,82,12
9fivesixfivefivesix647,97,97
noneight25fhqrvv,25,15
eightninephmksl9dvhvcbvdldthree,99,83
threegr8,88,38
6fzqndfour5nine,65,69
4bl2zhcnpqvxthreemkjfqmdctsqzbkllfgvsmtt,42,43
9three13,93,93
hvbftpsbprhzx5,55,55
one7threer57,77,17
psdkpvjkzrs3sixfive,33,35
ngsqbpfbt34,34,34
gbdh7threexnszmtwo,77,72
64cmmt9sevenh8qdgmcpplgsj,68,68
fivervlsbzjsfiveqbmlrvlzqn8twoeight1vxzkjf,81,51
bznrgbrmnzvhp1twosix,11,16
97gldxj,97,97
fsjbjcklxp9nine2,92,92
hpgm7three,77,73
ljxcrlfive9bf,99,59
four894zmzmllzgkv,84,44
fivetmbkmmrjg9seven1tsix1,91,51
88sixgprtzhfzsncm4,84,84
dbdqkgtdxdjxhk3lsqvsmmtonexstlrplstvqvvmthree,33,33
sixfbvmqxbhbgfbl3,33,63
jkdshphdg1,11,11
sevenrkrvtwofivenine4fourcmjmmdvzvh,44,74
553,53,53
cqthreeone2ppfflh3fiveseven,23,37
5fivekxfzpzjsd42sevenzgfourtwo,52,52
55fivekrtckjphnlplbcbxbzf,55,55
1pgsfgdf755,15,15
5dncccmkpqtwocmmlltvbg,55,52
two23eight9lnjk,29,29
1148pdtcl1eight5oneights,15,18
4ltrvvtxfhcp8eight4dpfhmqeight,44,48
44xtvnlrcpb,44,44
9knzcfpkv2hqntgqkfgtsix1eight8,98,98
rlgmxxmpsk9,99,99
1one9,19,19
1six9fsvbrrgxqpsevensbnzshmb9,19,19
ftgbfqrzslqrcmmeightnjjrrkvhntcv1djmbqztrkvlqfkshoneightggd,11,88
one5twofqqgcdvzkllqgxhjpmkhsjpthree,55,13
sevenxtmq34two9gnvrvxfjmgq,39,79
nineeight6mkvbfour6four,66,94
6dcrpx8sixseven2bbszpncx3,63,63
6keighteightfive6six13,63,63
sixfive69sevenschkmdrvs,69,67
dzdgsmgcmkthxddd1921two7,17,17
fivenine9eighttworlrccrjzseven3,93,53
3onefoursix,33,36
6jzqksxpk,66,66
qfjhv1,11,11
sevennssgfpzt2bcxldkphfour1sixnine5,25,75
sx1zhzzpzonevrllpblsfnxzknmpconefktdt,11,11
mdvqxbgjhzprrhvqhdt6kfq,66,66
sclszppxlpzvzpscvqc791twochlgnsf4,74,74
krtjqmseven6tbllzgjcghsix1,61,71
114,14,14
75kp,75,75
rbrftcblxcknine4eight,44,98
ffmsgbqf33jcjktprgmczzkd6,36,36
v9zjhcvjjkr716,96,96
three49oneightf,49,38
ninesix2twobvdrbsvjrmvhsdhncsqhcfour,22,94
5thmkvcrfsix87hjhgbrxxfgseven,57,57
five8fourone24fqjknjq,84,54
xfmeight8,88,88
7onenine,77,79
fivesixfive2six9hn,29,59
7six441,71,71
1gjkphqtwo,11,12
fourhzgxqtxggfpprrmtfqsdhc2fdxnjdgx64five,24,45
threeninejdzzrbpmfhjcqdsix8two2bb,82,32
7877pzrbtcsddmrffzdsmqlqkjsix,77,76
5four3eight,53,58
15nine1,11,11
